segment,duration,loudness_max,pitches,pitch1,pitch2,pitch3,pitch4,pitch5,pitch6,pitch7,pitch8,pitch9,pitch10,pitch11,pitch12
103,0.19764,-3.967,"[0.707, 0.322, 0.236, 0.178, 0.23, 0.145, 0.131, 0.139, 0.144, 0.159, 0.353, 1.0]",0.707,0.322,0.236,0.178,0.23,0.145,0.131,0.139,0.144,0.159,0.353,1.0
104,0.48694,-1.598,"[0.746, 0.262, 0.175, 0.133, 0.152, 0.576, 0.698, 0.412, 0.28, 0.617, 1.0, 0.793]",0.746,0.262,0.175,0.133,0.152,0.576,0.698,0.412,0.28,0.617,1.0,0.793
105,0.23215,-4.082,"[0.59, 0.305, 0.243, 0.251, 0.268, 1.0, 0.365, 0.434, 0.38, 0.262, 0.181, 0.269]",0.59,0.305,0.243,0.251,0.268,1.0,0.365,0.434,0.38,0.262,0.181,0.269
106,0.09288,-6.991,"[0.616, 0.65, 0.307, 0.337, 0.944, 1.0, 0.544, 0.561, 0.132, 0.165, 0.256, 0.097]",0.616,0.65,0.307,0.337,0.944,1.0,0.544,0.561,0.132,0.165,0.256,0.097
107,0.57964,-4.434,"[0.449, 0.158, 0.158, 0.173, 0.321, 1.0, 0.208, 0.149, 0.212, 0.309, 0.239, 0.25]",0.449,0.158,0.158,0.173,0.321,1.0,0.208,0.149,0.212,0.309,0.239,0.25
108,0.16925,-6.477,"[0.689, 0.679, 0.088, 0.094, 0.172, 0.25, 0.455, 0.444, 0.962, 1.0, 0.688, 0.052]",0.689,0.679,0.088,0.094,0.172,0.25,0.455,0.444,0.962,1.0,0.688,0.052
109,0.23016,-5.007,"[0.837, 0.28, 0.136, 0.184, 0.229, 1.0, 0.405, 0.254, 0.36, 0.275, 0.148, 0.259]",0.837,0.28,0.136,0.184,0.229,1.0,0.405,0.254,0.36,0.275,0.148,0.259
110,0.20531,-6.384,"[0.188, 0.403, 0.621, 0.238, 0.155, 0.444, 0.817, 1.0, 0.472, 0.167, 0.126, 0.218]",0.188,0.403,0.621,0.238,0.155,0.444,0.817,1.0,0.472,0.167,0.126,0.218
111,0.16245,-6.747,"[0.623, 0.421, 0.202, 0.185, 0.487, 0.357, 0.628, 0.618, 0.957, 1.0, 0.992, 0.061]",0.623,0.421,0.202,0.185,0.487,0.357,0.628,0.618,0.957,1.0,0.992,0.061
112,0.08707,-5.799,"[0.874, 0.891, 0.802, 0.798, 0.748, 0.738, 1.0, 0.994, 0.74, 0.76, 0.918, 0.718]",0.874,0.891,0.802,0.798,0.748,0.738,1.0,0.994,0.74,0.76,0.918,0.718
113,0.11619,-5.467,"[0.491, 0.621, 0.239, 0.322, 1.0, 0.314, 0.491, 0.45, 0.767, 0.642, 0.32, 0.557]",0.491,0.621,0.239,0.322,1.0,0.314,0.491,0.45,0.767,0.642,0.32,0.557
114,0.55125,-3.493,"[0.244, 0.204, 0.164, 0.2, 0.412, 0.275, 0.274, 0.316, 0.477, 1.0, 0.439, 0.327]",0.244,0.204,0.164,0.2,0.412,0.275,0.274,0.316,0.477,1.0,0.439,0.327
115,0.26145,-5.322,"[0.633, 0.749, 0.715, 0.304, 0.481, 0.289, 0.259, 0.168, 0.311, 1.0, 0.315, 0.519]",0.633,0.749,0.715,0.304,0.481,0.289,0.259,0.168,0.311,1.0,0.315,0.519
116,0.17964,-5.473,"[0.215, 0.192, 0.1, 0.393, 0.638, 0.219, 0.39, 0.374, 1.0, 0.811, 0.606, 0.132]",0.215,0.192,0.1,0.393,0.638,0.219,0.39,0.374,1.0,0.811,0.606,0.132
117,0.2093,-6.455,"[0.453, 0.29, 0.289, 0.405, 1.0, 0.581, 0.345, 0.379, 0.181, 0.244, 0.173, 0.97]",0.453,0.29,0.289,0.405,1.0,0.581,0.345,0.379,0.181,0.244,0.173,0.97
118,0.23628,-6.673,"[0.186, 0.606, 1.0, 0.276, 0.075, 0.198, 0.123, 0.287, 0.202, 0.224, 0.076, 0.295]",0.186,0.606,1.0,0.276,0.075,0.198,0.123,0.287,0.202,0.224,0.076,0.295
119,0.15397,-9.259,"[0.133, 1.0, 0.211, 0.095, 0.171, 0.285, 0.218, 0.178, 0.273, 0.361, 0.241, 0.033]",0.133,1.0,0.211,0.095,0.171,0.285,0.218,0.178,0.273,0.361,0.241,0.033
120,0.38136,-5.862,"[0.599, 1.0, 0.906, 0.802, 0.759, 0.587, 0.53, 0.572, 0.724, 0.758, 0.564, 0.535]",0.599,1.0,0.906,0.802,0.759,0.587,0.53,0.572,0.724,0.758,0.564,0.535
121,0.15161,-8.01,"[0.835, 1.0, 0.183, 0.121, 0.281, 0.272, 0.546, 0.591, 0.831, 0.82, 0.861, 0.076]",0.835,1.0,0.183,0.121,0.281,0.272,0.546,0.591,0.831,0.82,0.861,0.076
122,0.20281,-6.013,"[0.919, 0.781, 0.841, 0.67, 0.655, 0.699, 0.563, 0.659, 0.614, 0.705, 0.448, 1.0]",0.919,0.781,0.841,0.67,0.655,0.699,0.563,0.659,0.614,0.705,0.448,1.0
123,0.24898,-5.361,"[0.151, 0.499, 1.0, 0.441, 0.319, 0.909, 0.289, 0.165, 0.293, 0.389, 0.114, 0.098]",0.151,0.499,1.0,0.441,0.319,0.909,0.289,0.165,0.293,0.389,0.114,0.098
124,0.20372,-7.722,"[0.237, 0.377, 0.55, 0.284, 0.586, 0.64, 0.206, 0.173, 0.387, 1.0, 0.311, 0.322]",0.237,0.377,0.55,0.284,0.586,0.64,0.206,0.173,0.387,1.0,0.311,0.322
125,0.21469,-6.259,"[0.191, 0.144, 0.656, 0.215, 0.062, 0.131, 0.425, 1.0, 0.395, 0.08, 0.092, 0.291]",0.191,0.144,0.656,0.215,0.062,0.131,0.425,1.0,0.395,0.08,0.092,0.291
126,0.16268,-7.325,"[0.241, 0.555, 1.0, 0.33, 0.109, 0.139, 0.609, 0.842, 0.771, 0.718, 0.343, 0.107]",0.241,0.555,1.0,0.33,0.109,0.139,0.609,0.842,0.771,0.718,0.343,0.107
127,0.38707,-5.404,"[0.373, 0.391, 0.57, 0.418, 0.472, 0.437, 0.584, 1.0, 0.892, 0.416, 0.311, 0.321]",0.373,0.391,0.57,0.418,0.472,0.437,0.584,1.0,0.892,0.416,0.311,0.321
128,0.2624,-6.787,"[0.269, 0.291, 0.375, 0.263, 0.264, 0.244, 0.247, 1.0, 0.27, 0.236, 0.137, 0.12]",0.269,0.291,0.375,0.263,0.264,0.244,0.247,1.0,0.27,0.236,0.137,0.12
129,0.27896,-4.634,"[0.139, 0.28, 0.686, 0.29, 0.24, 0.486, 0.725, 0.622, 1.0, 0.435, 0.203, 0.192]",0.139,0.28,0.686,0.29,0.24,0.486,0.725,0.622,1.0,0.435,0.203,0.192
130,0.09859,-9.004,"[0.936, 1.0, 0.196, 0.157, 0.2, 0.179, 0.312, 0.318, 0.409, 0.4, 0.651, 0.168]",0.936,1.0,0.196,0.157,0.2,0.179,0.312,0.318,0.409,0.4,0.651,0.168
131,0.31406,-4.681,"[0.986, 0.676, 0.666, 0.573, 0.673, 0.566, 0.413, 1.0, 0.481, 0.585, 0.569, 0.996]",0.986,0.676,0.666,0.573,0.673,0.566,0.413,1.0,0.481,0.585,0.569,0.996
132,0.23224,-5.105,"[1.0, 0.375, 0.22, 0.076, 0.089, 0.102, 0.077, 0.244, 0.145, 0.066, 0.069, 0.312]",1.0,0.375,0.22,0.076,0.089,0.102,0.077,0.244,0.145,0.066,0.069,0.312
133,0.52671,-4.487,"[1.0, 0.729, 0.368, 0.319, 0.511, 0.577, 0.571, 0.877, 0.933, 0.557, 0.615, 0.794]",1.0,0.729,0.368,0.319,0.511,0.577,0.571,0.877,0.933,0.557,0.615,0.794
134,0.25088,-8.102,"[1.0, 0.792, 0.39, 0.103, 0.18, 0.15, 0.149, 0.252, 0.152, 0.109, 0.057, 0.201]",1.0,0.792,0.39,0.103,0.18,0.15,0.149,0.252,0.152,0.109,0.057,0.201
135,0.38349,-6.166,"[0.876, 0.33, 0.28, 0.308, 0.542, 0.707, 0.74, 0.72, 0.801, 1.0, 0.705, 0.72]",0.876,0.33,0.28,0.308,0.542,0.707,0.74,0.72,0.801,1.0,0.705,0.72
136,0.36567,-5.661,"[1.0, 0.395, 0.281, 0.387, 0.44, 0.817, 0.657, 0.242, 0.157, 0.389, 0.189, 0.351]",1.0,0.395,0.281,0.387,0.44,0.817,0.657,0.242,0.157,0.389,0.189,0.351
137,0.41814,-5.593,"[0.49, 0.208, 0.223, 0.194, 0.266, 1.0, 0.252, 0.175, 0.17, 0.174, 0.179, 0.197]",0.49,0.208,0.223,0.194,0.266,1.0,0.252,0.175,0.17,0.174,0.179,0.197
138,0.19714,-7.747,"[0.604, 0.231, 0.077, 0.089, 0.2, 1.0, 0.41, 0.1, 0.128, 0.177, 0.106, 0.353]",0.604,0.231,0.077,0.089,0.2,1.0,0.41,0.1,0.128,0.177,0.106,0.353
139,0.19152,-6.542,"[1.0, 0.584, 0.323, 0.181, 0.321, 0.97, 0.44, 0.208, 0.171, 0.152, 0.101, 0.41]",1.0,0.584,0.323,0.181,0.321,0.97,0.44,0.208,0.171,0.152,0.101,0.41
140,0.19143,-4.748,"[0.498, 0.335, 0.109, 0.269, 0.341, 1.0, 0.739, 0.222, 0.296, 0.192, 0.097, 0.147]",0.498,0.335,0.109,0.269,0.341,1.0,0.739,0.222,0.296,0.192,0.097,0.147
141,0.47624,-4.952,"[0.633, 0.571, 0.461, 0.236, 0.417, 0.446, 0.448, 0.575, 1.0, 0.876, 0.738, 0.707]",0.633,0.571,0.461,0.236,0.417,0.446,0.448,0.575,1.0,0.876,0.738,0.707
142,0.10413,-6.643,"[0.721, 0.337, 0.191, 0.315, 1.0, 0.608, 0.225, 0.248, 0.28, 0.411, 0.336, 0.44]",0.721,0.337,0.191,0.315,1.0,0.608,0.225,0.248,0.28,0.411,0.336,0.44
143,0.17342,-4.299,"[0.197, 0.325, 0.215, 0.353, 0.627, 0.158, 0.436, 0.48, 1.0, 0.946, 0.645, 0.297]",0.197,0.325,0.215,0.353,0.627,0.158,0.436,0.48,1.0,0.946,0.645,0.297
144,0.16499,-6.277,"[0.468, 0.508, 0.186, 0.23, 0.703, 0.532, 0.74, 0.763, 0.831, 1.0, 0.776, 0.054]",0.468,0.508,0.186,0.23,0.703,0.532,0.74,0.763,0.831,1.0,0.776,0.054
145,0.25397,-4.255,"[0.505, 0.371, 0.226, 0.133, 0.447, 0.238, 0.25, 0.148, 0.418, 1.0, 0.316, 0.545]",0.505,0.371,0.226,0.133,0.447,0.238,0.25,0.148,0.418,1.0,0.316,0.545
146,0.18009,-4.263,"[0.197, 0.433, 0.108, 0.117, 0.404, 0.177, 0.252, 0.262, 0.77, 1.0, 0.505, 0.082]",0.197,0.433,0.108,0.117,0.404,0.177,0.252,0.262,0.77,1.0,0.505,0.082
147,0.18562,-2.677,"[0.153, 0.348, 0.201, 0.319, 0.807, 0.302, 0.333, 0.403, 0.968, 1.0, 0.497, 0.183]",0.153,0.348,0.201,0.319,0.807,0.302,0.333,0.403,0.968,1.0,0.497,0.183
148,0.29098,-4.969,"[0.742, 0.605, 0.553, 0.701, 1.0, 0.732, 0.383, 0.331, 0.406, 0.276, 0.403, 0.895]",0.742,0.605,0.553,0.701,1.0,0.732,0.383,0.331,0.406,0.276,0.403,0.895
149,0.11537,-6.498,"[0.377, 1.0, 0.551, 0.282, 0.109, 0.265, 0.111, 0.148, 0.104, 0.173, 0.085, 0.074]",0.377,1.0,0.551,0.282,0.109,0.265,0.111,0.148,0.104,0.173,0.085,0.074
150,0.5693,-3.509,"[0.196, 0.277, 1.0, 0.311, 0.189, 0.221, 0.16, 0.235, 0.286, 0.376, 0.185, 0.205]",0.196,0.277,1.0,0.311,0.189,0.221,0.16,0.235,0.286,0.376,0.185,0.205
151,0.19261,-9.168,"[0.275, 0.712, 1.0, 0.511, 0.198, 0.21, 0.139, 0.12, 0.21, 0.323, 0.089, 0.271]",0.275,0.712,1.0,0.511,0.198,0.21,0.139,0.12,0.21,0.323,0.089,0.271
152,0.21383,-6.817,"[0.246, 0.53, 1.0, 0.339, 0.145, 0.164, 0.085, 0.139, 0.17, 0.173, 0.058, 0.161]",0.246,0.53,1.0,0.339,0.145,0.164,0.085,0.139,0.17,0.173,0.058,0.161
153,0.36517,-5.689,"[0.458, 0.548, 1.0, 0.679, 0.449, 0.347, 0.436, 0.302, 0.331, 0.282, 0.184, 0.412]",0.458,0.548,1.0,0.679,0.449,0.347,0.436,0.302,0.331,0.282,0.184,0.412
154,0.40145,-7.029,"[0.567, 0.742, 0.728, 0.376, 0.267, 0.453, 0.608, 1.0, 0.523, 0.713, 0.547, 0.572]",0.567,0.742,0.728,0.376,0.267,0.453,0.608,1.0,0.523,0.713,0.547,0.572
155,0.19188,-6.976,"[0.068, 0.072, 0.131, 0.146, 0.062, 0.133, 0.475, 1.0, 0.573, 0.103, 0.059, 0.082]",0.068,0.072,0.131,0.146,0.062,0.133,0.475,1.0,0.573,0.103,0.059,0.082
156,0.15565,-6.67,"[0.408, 0.57, 0.697, 0.308, 0.787, 1.0, 0.973, 0.913, 0.683, 0.879, 0.497, 0.143]",0.408,0.57,0.697,0.308,0.787,1.0,0.973,0.913,0.683,0.879,0.497,0.143
157,0.39533,-6.689,"[0.275, 0.371, 0.432, 0.158, 0.277, 0.317, 0.332, 1.0, 0.318, 0.508, 0.217, 0.261]",0.275,0.371,0.432,0.158,0.277,0.317,0.332,1.0,0.318,0.508,0.217,0.261
158,0.60821,-3.892,"[0.248, 0.248, 0.548, 0.305, 0.403, 0.48, 0.364, 1.0, 0.487, 0.428, 0.615, 0.397]",0.248,0.248,0.548,0.305,0.403,0.48,0.364,1.0,0.487,0.428,0.615,0.397
159,0.40109,-5.134,"[1.0, 0.179, 0.074, 0.104, 0.136, 0.161, 0.111, 0.219, 0.294, 0.221, 0.156, 0.191]",1.0,0.179,0.074,0.104,0.136,0.161,0.111,0.219,0.294,0.221,0.156,0.191
160,0.18639,-6.166,"[1.0, 0.346, 0.188, 0.096, 0.113, 0.084, 0.059, 0.154, 0.221, 0.125, 0.106, 0.647]",1.0,0.346,0.188,0.096,0.113,0.084,0.059,0.154,0.221,0.125,0.106,0.647
161,0.19048,-4.875,"[1.0, 0.446, 0.401, 0.125, 0.11, 0.158, 0.159, 0.18, 0.076, 0.13, 0.092, 0.628]",1.0,0.446,0.401,0.125,0.11,0.158,0.159,0.18,0.076,0.13,0.092,0.628
162,0.19188,-4.133,"[1.0, 0.718, 0.625, 0.208, 0.259, 0.211, 0.202, 0.226, 0.19, 0.175, 0.116, 0.564]",1.0,0.718,0.625,0.208,0.259,0.211,0.202,0.226,0.19,0.175,0.116,0.564
163,0.20336,-5.356,"[0.343, 0.471, 1.0, 0.429, 0.817, 0.221, 0.188, 0.348, 0.464, 0.438, 0.159, 0.32]",0.343,0.471,1.0,0.429,0.817,0.221,0.188,0.348,0.464,0.438,0.159,0.32
164,0.19215,-4.55,"[0.325, 0.303, 0.253, 0.337, 1.0, 0.213, 0.121, 0.109, 0.21, 0.098, 0.091, 0.359]",0.325,0.303,0.253,0.337,1.0,0.213,0.121,0.109,0.21,0.098,0.091,0.359
165,0.38222,-2.772,"[0.308, 0.166, 0.19, 0.229, 0.383, 1.0, 0.351, 0.223, 0.269, 0.302, 0.232, 0.175]",0.308,0.166,0.19,0.229,0.383,1.0,0.351,0.223,0.269,0.302,0.232,0.175
166,0.81347,-3.7,"[0.425, 0.236, 0.224, 0.232, 0.384, 1.0, 0.6, 0.371, 0.405, 0.483, 0.345, 0.358]",0.425,0.236,0.224,0.232,0.384,1.0,0.6,0.371,0.405,0.483,0.345,0.358
167,0.21361,-6.888,"[0.33, 0.256, 0.671, 0.31, 0.278, 0.369, 0.176, 0.204, 0.956, 1.0, 0.312, 0.165]",0.33,0.256,0.671,0.31,0.278,0.369,0.176,0.204,0.956,1.0,0.312,0.165
168,0.16902,-7.623,"[0.905, 0.775, 0.495, 0.545, 0.978, 0.974, 0.956, 1.0, 0.742, 0.582, 0.3, 0.477]",0.905,0.775,0.495,0.545,0.978,0.974,0.956,1.0,0.742,0.582,0.3,0.477
169,0.38939,-4.945,"[0.969, 0.717, 0.489, 1.0, 0.672, 0.786, 0.986, 0.554, 0.887, 0.957, 0.862, 0.972]",0.969,0.717,0.489,1.0,0.672,0.786,0.986,0.554,0.887,0.957,0.862,0.972
170,0.24934,-2.875,"[0.204, 0.224, 0.295, 1.0, 0.326, 0.205, 0.187, 0.211, 0.294, 0.184, 0.157, 0.141]",0.204,0.224,0.295,1.0,0.326,0.205,0.187,0.211,0.294,0.184,0.157,0.141
171,0.12762,-6.806,"[0.32, 0.346, 0.424, 1.0, 0.762, 0.755, 0.387, 0.496, 0.316, 0.198, 0.094, 0.069]",0.32,0.346,0.424,1.0,0.762,0.755,0.387,0.496,0.316,0.198,0.094,0.069
172,0.60331,-2.757,"[0.808, 0.713, 0.577, 0.905, 0.366, 0.714, 0.514, 0.722, 1.0, 0.933, 0.619, 0.652]",0.808,0.713,0.577,0.905,0.366,0.714,0.514,0.722,1.0,0.933,0.619,0.652
173,0.15723,-5.659,"[0.468, 0.266, 0.352, 0.65, 0.617, 0.642, 1.0, 0.91, 0.902, 0.891, 0.683, 0.066]",0.468,0.266,0.352,0.65,0.617,0.642,1.0,0.91,0.902,0.891,0.683,0.066
174,0.09256,-4.953,"[0.917, 0.88, 0.772, 0.78, 0.825, 0.862, 1.0, 0.979, 0.673, 0.685, 0.948, 0.482]",0.917,0.88,0.772,0.78,0.825,0.862,1.0,0.979,0.673,0.685,0.948,0.482
175,0.33692,-5.886,"[0.886, 0.603, 0.555, 0.475, 0.407, 0.37, 0.211, 0.378, 0.414, 0.316, 1.0, 0.813]",0.886,0.603,0.555,0.475,0.407,0.37,0.211,0.378,0.414,0.316,1.0,0.813
176,0.35383,-4.052,"[0.181, 0.159, 0.149, 0.174, 0.214, 0.267, 0.105, 0.11, 0.121, 0.178, 1.0, 0.173]",0.181,0.159,0.149,0.174,0.214,0.267,0.105,0.11,0.121,0.178,1.0,0.173
177,0.40676,-4.905,"[0.313, 0.315, 0.211, 0.201, 0.212, 0.269, 0.268, 0.179, 0.291, 0.291, 1.0, 0.375]",0.313,0.315,0.211,0.201,0.212,0.269,0.268,0.179,0.291,0.291,1.0,0.375
178,0.18676,-6.227,"[0.101, 0.127, 0.221, 0.111, 0.088, 0.206, 0.16, 0.083, 0.185, 0.349, 1.0, 0.243]",0.101,0.127,0.221,0.111,0.088,0.206,0.16,0.083,0.185,0.349,1.0,0.243
179,0.17873,-4.659,"[0.104, 0.423, 0.558, 0.455, 1.0, 0.94, 0.709, 0.745, 0.452, 0.994, 0.273, 0.074]",0.104,0.423,0.558,0.455,1.0,0.94,0.709,0.745,0.452,0.994,0.273,0.074
180,0.20907,-4.669,"[0.255, 0.529, 0.564, 0.328, 0.25, 0.131, 0.517, 1.0, 0.588, 0.317, 0.233, 0.244]",0.255,0.529,0.564,0.328,0.25,0.131,0.517,1.0,0.588,0.317,0.233,0.244
181,0.19111,-5.113,"[0.804, 0.732, 0.743, 0.393, 0.435, 0.447, 0.416, 1.0, 0.637, 0.312, 0.21, 0.651]",0.804,0.732,0.743,0.393,0.435,0.447,0.416,1.0,0.637,0.312,0.21,0.651
182,0.20349,-2.735,"[0.052, 0.088, 0.255, 0.128, 0.089, 0.147, 0.303, 1.0, 0.515, 0.128, 0.14, 0.073]",0.052,0.088,0.255,0.128,0.089,0.147,0.303,1.0,0.515,0.128,0.14,0.073
183,0.37741,-3.796,"[0.239, 0.212, 0.18, 0.247, 0.302, 0.378, 0.527, 1.0, 0.581, 0.425, 0.331, 0.246]",0.239,0.212,0.18,0.247,0.302,0.378,0.527,1.0,0.581,0.425,0.331,0.246
184,0.22073,-4.282,"[0.393, 0.429, 0.441, 0.105, 0.104, 0.174, 0.349, 1.0, 0.304, 0.07, 0.112, 0.309]",0.393,0.429,0.441,0.105,0.104,0.174,0.349,1.0,0.304,0.07,0.112,0.309
185,0.2332,-3.721,"[0.183, 0.274, 0.75, 0.36, 0.228, 0.262, 0.561, 1.0, 0.624, 0.241, 0.197, 0.211]",0.183,0.274,0.75,0.36,0.228,0.262,0.561,1.0,0.624,0.241,0.197,0.211
186,0.13864,-4.155,"[0.23, 0.638, 0.893, 0.516, 0.796, 0.831, 1.0, 0.681, 0.318, 0.184, 0.147, 0.23]",0.23,0.638,0.893,0.516,0.796,0.831,1.0,0.681,0.318,0.184,0.147,0.23
187,0.23206,-5.307,"[0.238, 0.334, 0.692, 0.258, 0.177, 0.629, 1.0, 0.298, 0.287, 0.26, 0.124, 0.206]",0.238,0.334,0.692,0.258,0.177,0.629,1.0,0.298,0.287,0.26,0.124,0.206
188,0.12825,-5.533,"[0.494, 1.0, 0.76, 0.162, 0.338, 0.389, 0.809, 0.527, 0.42, 0.469, 0.316, 0.045]",0.494,1.0,0.76,0.162,0.338,0.389,0.809,0.527,0.42,0.469,0.316,0.045
189,0.23215,-4.192,"[0.074, 0.327, 1.0, 0.286, 0.137, 0.13, 0.197, 0.128, 0.164, 0.161, 0.076, 0.075]",0.074,0.327,1.0,0.286,0.137,0.13,0.197,0.128,0.164,0.161,0.076,0.075
190,0.19075,-4.261,"[0.149, 0.28, 0.433, 0.161, 0.093, 0.453, 1.0, 0.336, 0.165, 0.142, 0.081, 0.096]",0.149,0.28,0.433,0.161,0.093,0.453,1.0,0.336,0.165,0.142,0.081,0.096
191,0.16263,-3.574,"[0.291, 0.472, 0.642, 0.299, 0.61, 0.641, 1.0, 0.865, 0.574, 0.561, 0.349, 0.05]",0.291,0.472,0.642,0.299,0.61,0.641,1.0,0.865,0.574,0.561,0.349,0.05
192,0.0698,-3.193,"[1.0, 0.969, 0.553, 0.585, 0.494, 0.47, 0.617, 0.644, 0.563, 0.499, 0.81, 0.406]",1.0,0.969,0.553,0.585,0.494,0.47,0.617,0.644,0.563,0.499,0.81,0.406
193,0.34943,-3.795,"[0.27, 0.345, 0.313, 0.276, 0.328, 0.563, 1.0, 0.346, 0.446, 0.48, 0.152, 0.19]",0.27,0.345,0.313,0.276,0.328,0.563,1.0,0.346,0.446,0.48,0.152,0.19
194,0.18408,-5.932,"[0.205, 1.0, 0.827, 0.273, 0.599, 0.616, 0.662, 0.825, 0.443, 0.483, 0.236, 0.078]",0.205,1.0,0.827,0.273,0.599,0.616,0.662,0.825,0.443,0.483,0.236,0.078
195,0.41837,-3.931,"[0.41, 0.465, 0.603, 0.317, 0.363, 0.534, 0.643, 1.0, 0.744, 0.559, 0.427, 0.43]",0.41,0.465,0.603,0.317,0.363,0.534,0.643,1.0,0.744,0.559,0.427,0.43
196,0.55728,-3.753,"[0.214, 0.283, 0.447, 0.303, 0.277, 0.404, 0.396, 1.0, 0.858, 0.33, 0.427, 0.374]",0.214,0.283,0.447,0.303,0.277,0.404,0.396,1.0,0.858,0.33,0.427,0.374
197,0.20295,-9.227,"[0.338, 0.408, 0.409, 0.07, 0.079, 0.167, 0.414, 1.0, 0.346, 0.095, 0.063, 0.256]",0.338,0.408,0.409,0.07,0.079,0.167,0.414,1.0,0.346,0.095,0.063,0.256
198,0.18993,-5.159,"[0.073, 0.087, 0.182, 0.094, 0.086, 0.12, 0.398, 1.0, 0.392, 0.14, 0.068, 0.054]",0.073,0.087,0.182,0.094,0.086,0.12,0.398,1.0,0.392,0.14,0.068,0.054
199,0.15274,-5.182,"[0.175, 0.347, 0.369, 0.284, 0.607, 0.608, 0.792, 1.0, 0.54, 0.458, 0.297, 0.072]",0.175,0.347,0.369,0.284,0.607,0.608,0.792,1.0,0.54,0.458,0.297,0.072
200,0.26694,-4.205,"[0.419, 0.681, 1.0, 0.405, 0.294, 0.517, 0.98, 0.387, 0.229, 0.112, 0.163, 0.335]",0.419,0.681,1.0,0.405,0.294,0.517,0.98,0.387,0.229,0.112,0.163,0.335
201,0.15705,-4.416,"[0.427, 0.586, 0.5, 0.335, 0.427, 0.451, 1.0, 0.851, 0.735, 0.88, 0.43, 0.047]",0.427,0.586,0.5,0.335,0.427,0.451,1.0,0.851,0.735,0.88,0.43,0.047
202,0.17383,-3.866,"[0.201, 1.0, 0.537, 0.12, 0.133, 0.145, 0.171, 0.097, 0.279, 0.268, 0.092, 0.072]",0.201,1.0,0.537,0.12,0.133,0.145,0.171,0.097,0.279,0.268,0.092,0.072
203,0.23238,-4.183,"[0.378, 0.649, 0.826, 0.433, 0.253, 0.5, 1.0, 0.358, 0.656, 0.449, 0.269, 0.645]",0.378,0.649,0.826,0.433,0.253,0.5,1.0,0.358,0.656,0.449,0.269,0.645
204,0.20295,-3.443,"[0.171, 0.396, 0.969, 0.325, 0.129, 0.318, 1.0, 0.878, 0.474, 0.327, 0.122, 0.345]",0.171,0.396,0.969,0.325,0.129,0.318,1.0,0.878,0.474,0.327,0.122,0.345
205,0.34299,-1.938,"[0.165, 0.366, 1.0, 0.454, 0.373, 0.526, 0.829, 0.345, 0.401, 0.442, 0.188, 0.222]",0.165,0.366,1.0,0.454,0.373,0.526,0.829,0.345,0.401,0.442,0.188,0.222
206,0.61492,-2.918,"[0.38, 0.32, 0.368, 0.274, 0.34, 0.419, 0.604, 1.0, 0.68, 0.663, 0.597, 0.586]",0.38,0.32,0.368,0.274,0.34,0.419,0.604,1.0,0.68,0.663,0.597,0.586
207,0.23224,-2.699,"[0.086, 0.144, 0.252, 0.161, 0.1, 0.156, 0.328, 1.0, 0.292, 0.11, 0.176, 0.117]",0.086,0.144,0.252,0.161,0.1,0.156,0.328,1.0,0.292,0.11,0.176,0.117
208,0.54036,-3.594,"[0.376, 0.318, 0.594, 0.401, 0.459, 0.793, 0.531, 1.0, 0.585, 0.541, 0.632, 0.393]",0.376,0.318,0.594,0.401,0.459,0.793,0.531,1.0,0.585,0.541,0.632,0.393
209,0.22009,-3.46,"[0.464, 0.432, 0.426, 0.337, 0.384, 1.0, 0.811, 0.487, 0.544, 0.226, 0.232, 0.271]",0.464,0.432,0.426,0.337,0.384,1.0,0.811,0.487,0.544,0.226,0.232,0.271
210,0.15075,-4.989,"[0.384, 1.0, 0.447, 0.271, 0.442, 0.487, 0.508, 0.766, 0.293, 0.382, 0.174, 0.139]",0.384,1.0,0.447,0.271,0.442,0.487,0.508,0.766,0.293,0.382,0.174,0.139
211,0.20327,-4.37,"[0.543, 0.424, 1.0, 0.428, 0.202, 0.452, 0.614, 0.688, 0.305, 0.171, 0.181, 0.588]",0.543,0.424,1.0,0.428,0.202,0.452,0.614,0.688,0.305,0.171,0.181,0.588
212,0.1859,-4.775,"[0.32, 0.502, 1.0, 0.296, 0.122, 0.24, 0.306, 0.535, 0.199, 0.132, 0.099, 0.208]",0.32,0.502,1.0,0.296,0.122,0.24,0.306,0.535,0.199,0.132,0.099,0.208
213,0.38231,-2.793,"[0.329, 0.37, 0.312, 0.288, 0.617, 0.416, 0.247, 0.357, 0.875, 1.0, 0.58, 0.336]",0.329,0.37,0.312,0.288,0.617,0.416,0.247,0.357,0.875,1.0,0.58,0.336
214,0.35488,-3.059,"[0.856, 0.521, 0.456, 0.367, 0.459, 1.0, 0.435, 0.248, 0.297, 0.407, 0.871, 0.533]",0.856,0.521,0.456,0.367,0.459,1.0,0.435,0.248,0.297,0.407,0.871,0.533
215,0.22626,-2.907,"[0.452, 0.156, 0.152, 0.179, 0.129, 0.258, 0.357, 0.168, 0.256, 0.236, 0.204, 1.0]",0.452,0.156,0.152,0.179,0.129,0.258,0.357,0.168,0.256,0.236,0.204,1.0
216,0.55751,-2.472,"[0.809, 0.783, 0.429, 0.338, 0.551, 0.719, 0.728, 0.803, 1.0, 0.928, 0.824, 0.801]",0.809,0.783,0.429,0.338,0.551,0.719,0.728,0.803,1.0,0.928,0.824,0.801
